SCI_SPTYPE,A0V,A1V,A3V,A5V,F0V,F2V,F5V,F8V,G0V,G2V,G5V,G8V,K0V,K2V,K5V,K7V,M0V,M2V,M5V,M6V,M9V
M9V,2.13834206092567,2.1315667024713734,2.132136556026642,2.125140119856767,2.1160475118004816,2.1154187171388243,2.113972704496011,2.1064577210847766,2.1009033442994203,2.1046436705915186,2.0955153031925855,2.088135088606079,2.09292598614938,2.0869160623210687,2.0313302060715936,1.906612284374004,1.815731492118175,1.6207367704093527,1.0692398390436897,0.13377010108340087,0.0
M6V,2.1060182355101933,2.0989936009918626,2.0995539088820347,2.0923002223488183,2.082820465349386,2.0821659106208497,2.0806613647159877,2.07285555147724,2.067083379669027,2.070969676605908,2.0615255799366943,2.0539292067883204,2.0588551432317344,2.0526810641423014,1.9958081708646456,1.8667764383483954,1.772224210194894,1.568193469484125,0.9748927828722641,0.0,0.13378222012046764
M5V,1.799547257424977,1.790179979189014,1.7909238975419353,1.7812902629527025,1.7686525857940436,1.7677992792247936,1.7658402942072369,1.7555008014226725,1.7475947355530081,1.7529514041582581,1.740201356440894,1.7303676451837278,1.7367289385372,1.7287635216804613,1.6532847703819495,1.4723827235978177,1.3353414856036343,1.0213293373248653,0.0,0.9747400748880963,1.0691282891328837
M2V,1.333116687323002,1.318876858730128,1.320100453109006,1.3054546655018264,1.2864231980552618,1.2851516075311573,1.2822359146295033,1.2666525585704882,1.2544969624625182,1.2627623125475573,1.2431086387435295,1.228008883298787,1.2377872008729005,1.2255290797552472,1.1050788991232072,0.797360505680415,0.5420741207664135,0.0,1.0172396235187333,1.5631116408702372,1.6156544361559901
M0V,1.020819604414784,1.0021453296879732,1.0037618701788895,0.9846133427122294,0.9596433835753876,0.957996084756345,0.9542264891118339,0.9338510621457246,0.9175704412426806,0.9286934945373979,0.9024444165172952,0.8827052872006986,0.8954806581182946,0.8794574143712366,0.7158828667513796,0.2743976905683953,0.0,0.5407563002049343,1.3286208483929438,1.7645998834056,1.8081108651338285
K7V,0.8116410253298065,0.7900536845479128,0.7917883927150124,0.7698906479229275,0.7404537304063823,0.7385212407130181,0.7341046996972055,0.7100765143454303,0.6904240892239427,0.7039396123471747,0.672342305103222,0.6496212120578979,0.6643067746325902,0.6458619741790255,0.44790923437157654,0.0,0.27382643965842246,0.7945774687575151,1.4638994853054241,1.857408583505611,1.8972487302685959
K5V,0.412144771036512,0.38316691466159325,0.38415510224263266,0.35474433521362936,0.3128304550476766,0.30980971497645926,0.30294755057605616,0.2695467666973628,0.24643239651775575,0.26182444391646653,0.22293495359063328,0.18996930282400595,0.21133409674395268,0.18449237841042063,0.0,0.44539026575947016,0.7114482263263249,1.0975649229740188,1.639481833816072,1.9810139359680177,2.0165296072592884
K2V,0.19175058568629885,0.16089128090863308,0.158631144015824,0.1292483288043561,0.08106545984817212,0.07745243179519623,0.06942874469000158,0.037228597900027284,0.022113116640933447,0.031149664006551028,0.010801257399514284,0.00022475828575856783,0.005461188199998901,0.0,0.18433369364892635,0.6423130571362724,0.8740433148036086,1.2171370899602438,1.7141702111734132,2.0371607862387933,2.071393483791334
K0V,0.16329554334747395,0.13318366329225764,0.13058046219873615,0.10325964562623305,0.057385507898060364,0.054123926702757036,0.04700620986315096,0.019715220726302586,0.006899054423243256,0.014714192430204146,0.000998024445582389,0.0035328005496563265,0.0,0.005464583029904319,0.2112459884815241,0.6608851556514972,0.8902369143740325,1.2296190589131601,1.7224099122033365,2.0436332565235658,2.0777038336086533
G8V,0.1861796044414824,0.15542591398183872,0.15308239113939343,0.12402524071344004,0.0761218530467769,0.07255887381157007,0.0646671694062938,0.0332128060319564,0.01844064410248672,0.02729720348691038,0.008085965120409856,0.0,0.0035310426620659397,0.00022478752068193306,0.18982362868662253,0.6460978380544623,0.8773258090546153,1.2196626644866275,1.7158305663291642,2.0384701000368004,2.0726740914087936
