FilterProfileService filterID WavelengthUnit WavelengthUCD PhotSystem DetectorType Band Instrument Facility ProfileReference CalibrationReference Description Comments WavelengthRef WavelengthMean WavelengthEff WavelengthMin WavelengthMax WidthEff WavelengthCen WavelengthPivot WavelengthPeak WavelengthPhot FWHM Fsun PhotCalID MagSys ZeroPoint ZeroPointUnit Mag0 ZeroPointType AsinhSoft TrasmissionCurve
ivo://svo/fps JWST/NIRCam.F070W Angstrom em.wl NIRCam 1 "" NIRCam JWST https://jwst-docs.stsci.edu/display/JTI/NIRCam+Filters "" "NIRCam F070W filter" "includes NIRCam optics, DBS, QE and JWST Optical Telescope Element" 7039.1194650654 7088.3009369996 6988.4272768359 6048.1970523246 7927.0738659178 1212.8399166581 7099.1873443748 7039.1194650654 7691.5 7022.060805287 1430.8105961315 140.01772043307 JWST/NIRCam.F070W/Vega Vega 2768.4045696982 Jy 0.0 Pogson 0.0 http://svo2.cab.inta-csic.es//theory/fps/fps.php?ID=JWST/NIRCam.F070W
ivo://svo/fps JWST/NIRCam2025.F070W Angstrom em.wl NIRCam2025 1 F070W NIRCam JWST https://jwst-docs.stsci.edu/jwst-near-infrared-camera/nircam-instrumentation/nircam-filters#gsc.tab=0 "" "NIRCam  F070W filter . Updated Feb 2025" "includes contributions from the JWST Optical Telescope Element (OTE), NIRCam optical train, dichroics, filters, and detector quantum efficiency (QE)." 7047.0952782899 7096.4471977696 6996.0621457337 6031.564443372 8002.7266224207 1176.4945807066 7119.8451290999 7047.0952782899 7691.500244140626 7029.9042919888 1389.660407148 139.76039455597 JWST/NIRCam2025.F070W/Vega Vega 2765.4619957744 Jy 0.0 Pogson 0.0 http://svo2.cab.inta-csic.es//theory/fps/fps.php?ID=JWST/NIRCam2025.F070W
ivo://svo/fps JWST/NIRCam.F090W Angstrom em.wl NIRCam 1 "" NIRCam JWST https://jwst-docs.stsci.edu/display/JTI/NIRCam+Filters "" "NIRCam F090W filter" "includes NIRCam optics, DBS, QE and JWST Optical Telescope Element" 9021.5288283376 9083.3952700859 8984.9812166695 7881.875216583 10243.081731613 1772.7418859059 9007.2449821231 9021.5288283376 9905.5 9026.3413455784 2088.0551132236 89.25825936013 JWST/NIRCam.F090W/Vega Vega 2244.9507457345 Jy 0.0 Pogson 0.0 http://svo2.cab.inta-csic.es//theory/fps/fps.php?ID=JWST/NIRCam.F090W
ivo://svo/fps JWST/NIRCam2025.F090W Angstrom em.wl NIRCam2025 1 F090W NIRCam JWST https://jwst-docs.stsci.edu/jwst-near-infrared-camera/nircam-instrumentation/nircam-filters#gsc.tab=0 "" "NIRCam  F090W filter . Updated Feb 2025" "includes contributions from the JWST Optical Telescope Element (OTE), NIRCam optical train, dichroics, filters, and detector quantum efficiency (QE)." 9023.9972876396 9085.7623664097 8987.4950763565 7855.0097724131 10314.281828892 1768.8899619018 9008.1048972632 9023.9972876396 9905.499877929688 9028.7927987061 2087.1628077432 89.209033824668 JWST/NIRCam2025.F090W/Vega Vega 2244.6272448376 Jy 0.0 Pogson 0.0 http://svo2.cab.inta-csic.es//theory/fps/fps.php?ID=JWST/NIRCam2025.F090W
ivo://svo/fps JWST/NIRCam2025.F115W Angstrom em.wl NIRCam2025 1 F115W NIRCam JWST https://jwst-docs.stsci.edu/jwst-near-infrared-camera/nircam-instrumentation/nircam-filters#gsc.tab=0 "" "NIRCam  F115W filter . Updated Feb 2025" "includes contributions from the JWST Optical Telescope Element (OTE), NIRCam optical train, dichroics, filters, and detector quantum efficiency (QE)" 11540.775048192 11622.229778454 11431.589321774 9972.0417179249 13190.793271674 2052.8364431293 11493.291385525 11540.775048192 12691.99951171875 11486.924641208 2646.3968763149 53.05166879958 JWST/NIRCam2025.F115W/Vega Vega 1746.5216552138 Jy 0.0 Pogson 0.0 http://svo2.cab.inta-csic.es//theory/fps/fps.php?ID=JWST/NIRCam2025.F115W
ivo://svo/fps JWST/NIRCam.F115W Angstrom em.wl NIRCam 1 "" NIRCam JWST https://jwst-docs.stsci.edu/display/JTI/NIRCam+Filters "" "NIRCam F115W filter" "includes NIRCam optics, DBS, QE and JWST Optical Telescope Element" 11542.608442048 11623.884998948 11433.622503939 9975.6025121473 13058.39727876 2055.1323897044 11494.311055172 11542.608442048 12652.0 11488.863330367 2644.2460160212 53.032797973932 JWST/NIRCam.F115W/Vega Vega 1746.1178757573 Jy 0.0 Pogson 0.0 http://svo2.cab.inta-csic.es//theory/fps/fps.php?ID=JWST/NIRCam.F115W
ivo://svo/fps JWST/NIRCam.F140M Angstrom em.wl NIRCam 1 "" NIRCam JWST https://jwst-docs.stsci.edu/display/JTI/NIRCam+Filters "" "NIRCam F140M filter" "includes NIRCam optics, DBS, QE and JWST Optical Telescope Element" 14053.232536752 14074.468174513 14023.618737895 13042.245240637 15058.576852755 1367.4001675902 14055.471891322 14053.232536752 14643.5 14037.805056945 1471.7453241243 34.081684124249 JWST/NIRCam.F140M/Vega Vega 1288.6489399126 Jy 0.0 Pogson 0.0 http://svo2.cab.inta-csic.es//theory/fps/fps.php?ID=JWST/NIRCam.F140M
ivo://svo/fps JWST/NIRCam2025.F140M Angstrom em.wl NIRCam2025 1 F140M NIRCam JWST https://jwst-docs.stsci.edu/jwst-near-infrared-camera/nircam-instrumentation/nircam-filters#gsc.tab=0 "" "NIRCam  F140M filter . Updated Feb 2025" "includes contributions from the JWST Optical Telescope Element (OTE), NIRCam optical train, dichroics, filters, and detector quantum efficiency (QE)" 14053.414380898 14074.659700922 14023.786962722 12923.276736116 15223.863804871 1363.7261801902 14055.68491811 14053.414380898 14643.499755859375 14037.978804588 1471.4396906352 34.080673506166 JWST/NIRCam2025.F140M/Vega Vega 1288.6254602931 Jy 0.0 Pogson 0.0 http://svo2.cab.inta-csic.es//theory/fps/fps.php?ID=JWST/NIRCam2025.F140M
ivo://svo/fps JWST/NIRCam.F150W Angstrom em.wl NIRCam 1 "" NIRCam JWST https://jwst-docs.stsci.edu/display/JTI/NIRCam+Filters "" "NIRCam F150W filter" "includes NIRCam optics, DBS, QE and JWST Optical Telescope Element" 15007.438586148 15104.226607667 14872.561806926 13041.194700122 16948.894918849 2890.4253488344 15010.691851699 15007.438586148 16547.9 14937.56637456 3349.3001304998 28.954011369422 JWST/NIRCam.F150W/Vega Vega 1172.057562686 Jy 0.0 Pogson 0.0 http://svo2.cab.inta-csic.es//theory/fps/fps.php?ID=JWST/NIRCam.F150W
ivo://svo/fps JWST/NIRCam2025.F150W Angstrom em.wl NIRCam2025 1 F150W NIRCam JWST https://jwst-docs.stsci.edu/jwst-near-infrared-camera/nircam-instrumentation/nircam-filters#gsc.tab=0 "" "NIRCam  F150W filter . Updated Feb 2025" "includes contributions from the JWST Optical Telescope Element (OTE), NIRCam optical train, dichroics, filters, and detector quantum efficiency (QE)." 15008.98172162 15105.733676519 14874.093083857 12912.163424866 17106.882415433 2892.3079479612 15010.307601578 15008.98172162 16547.900390625 14939.102787032 3348.3065782126 28.946531926228 JWST/NIRCam2025.F150W/Vega Vega 1171.8547964357 Jy 0.0 Pogson 0.0 http://svo2.cab.inta-csic.es//theory/fps/fps.php?ID=JWST/NIRCam2025.F150W
